(ey/sh)e : [[0], [0]]
(ey/su)e : [[0], [0]]
(ey/te)e : [[0], [0]]
(ey/th)e : [[0], [0]]
(ey/ti)e : [[0], [0]]
(ey/to)e : [[0], [0]]
(ey/us)e : [[0], [0]]
(fe/ic)e : [[0], [0]]
(fe/jo)e : [[0], [0]]
(fe/li)e : [[0], [0]]
(fe/ma)e : [[0], [0]]
(fe/on)e : [[0], [0]]
(fe/pi)e : [[0], [0]]
(fe/sh)e : [[0], [0]]
(fe/su)e : [[0], [0]]
(fe/th)e : [[0], [0]]
(fe/ti)e : [[0], [0]]
(fe/to)e : [[0], [0]]
(fe/us)e : [[0], [0]]
(ic/jo)e : [[0], [0]]
(ic/le)e : [[0], [0]]
(ic/li)e : [[0], [0]]
(ic/ma)e : [[0], [0]]
(ic/on)e : [[0], [0]]
(ic/pe)e : [[0], [0]]
(ic/pi)e : [[0], [0]]
(ic/se)e : [[0], [0]]
(ic/sh)e : [[0], [0]]
(ic/su)e : [[0], [0]]
(ic/te)e : [[0], [0]]
(ic/th)e : [[0], [0]]
(ic/ti)e : [[0], [0]]
(ic/to)e : [[0], [0]]
(ic/us)e : [[0], [0]]
(jo/le)e : [[0], [0]]
(jo/li)e : [[0], [0]]
(jo/ma)e : [[0], [0]]
(jo/on)e : [[0], [0]]
(jo/pe)e : [[0], [0]]
(jo/pi)e : [[0], [0]]
